created_at,full_text,source,lang
Tue Nov 16 15:13:28 +0000 2021,RT @tuhins: My humble gratitude to dynamic @BJP4India Gen Sec Shri @tarunchughbjp ji n the ebullient @pradip103 n his @jankibaat1 team 4 an…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:13:08 +0000 2021,"RT @AmitBagaria12: Invested a small amount in American EV company @Rivian as it is 22% owned by @amazon which has ordered 100,000 commercia…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:12:56 +0000 2021,"@SportsFanGirl22 @amazon From a marketing perspective, dartboards would have been a more lucrative move","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:12:52 +0000 2021,"RT @mrmikeMTLPoetry: 🇨🇦Mr. Mike🇮🇹 is a SPED #Teacher from Montréal, Québec. He is also a husband, father, gamer, and writer. His new #poetr…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:12:47 +0000 2021,@SportsFanGirl22 @amazon The sheep,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:12:47 +0000 2021,How much do #Amazon &amp; other leading #tech #companies make per minute - the answer is #amazing! See: https://t.co/uL6T8CGln1 #business #BusinessNews #TechNews #strategy #marketing #retail #onlineretail @Amazon @Apple @Google @Microsoft @Tesla @dd_invest @StatistaCharts #NEWS,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:12:35 +0000 2021,"Prescott - PAD24L - 24Ltr 2HP Lubricated Air Compresser with 100% copper winding.

 https://t.co/Wk429JNPmo 

via @amazon","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:12:20 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:12:19 +0000 2021,@phil1p7 @amazon For sure it was the dog.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:12:18 +0000 2021,"Oh, that's nice. @Amazon has an entire line of ""Let's go Brandon!"" gear.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:12:17 +0000 2021,RT @ShibaInuHodler: Hey @Jeffbezos Accept $Shib As Payment On @Amazon!!💯🚀,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",en
Tue Nov 16 15:12:06 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:11:50 +0000 2021,RT @ShibInform: Elon has no $SHIB but @JeffBezos will start accepting Shiba as @amazon payment soon!🤫🗣,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",en
Tue Nov 16 15:11:43 +0000 2021,RT @ShibaInuHodler: Elon has no $SHIB but @JeffBezos will start accepting Shiba as @amazon payment soon!🤫🗣,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",en
Tue Nov 16 15:11:41 +0000 2021,"RT @mikecoulson48: In the middle of the #Coronavirus crisis, it's a matter of urgency that @Amazon, @Deliveroo and others finally allow the…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:11:15 +0000 2021,RT @ShibaInuHodler: Hey @JeffBezos Accept $Shib As A Form Of Payment On @amazon!!🚀,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",en
Tue Nov 16 15:11:13 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:11:10 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:10:56 +0000 2021,RT @CRN: ICYMI: @awscloud channel chief Doug Yeum is set to leave the AWS Partner Network (APN) to work for the retail division of parent c…,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:10:47 +0000 2021,"@TheJohnKimShow @DeojayDan @FlexaHQ @amptoken @trspalding How good are we talking? Ukraine good or like @Walmart @amazon @BankofAmerica good?

$amp @FlexaHQ @trspalding","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:10:42 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:10:14 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:10:03 +0000 2021,@AmazonHelp Thanks. I will place an order with @adorama or @bhphoto who are offering the actual rates. I am not going to pay 3 times the price of the item. @amazon  should not be practicing this price gouging. Sorry. Very disssapointed.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:09:54 +0000 2021,"RT @kaitfeldmann: Hey bestie, @amazon, will you please revise your reviewing system (specifically for BOOKS) in a way that separates the pr…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:09:51 +0000 2021,"@prattprattpratt @amazon Guys, let's chat?","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:09:30 +0000 2021,@ShibaInuHodler @amazon Shill,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:09:23 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:09:23 +0000 2021,"@amazon Can a family in Africa open a wish list at the USA Amazon website? And so that people can ship them care packages of items they might need in Africa? Are they able to open an account for that if they have internet access? Could someone there let me know, plz? TY","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:09:22 +0000 2021,All @amazon worker need higher hourly pay.. https://t.co/0QOZCT1wyB,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",en
Tue Nov 16 15:09:20 +0000 2021,"RT @BitPay: Use #crypto on @amazon to buy everything! It's easy: 
https://t.co/C6F3xrPDVT #BTC #DOGE #Litecoin #ETH https://t.co/lrUOqXCHoj","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:09:09 +0000 2021,RT @tuhins: My humble gratitude to dynamic @BJP4India Gen Sec Shri @tarunchughbjp ji n the ebullient @pradip103 n his @jankibaat1 team 4 an…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:08:57 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:08:46 +0000 2021,RT @amazon: Kindness. The greatest gift. https://t.co/VvM7pWbg4K https://t.co/cqSHSbmeoW,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
